ip,org,country,loc
69.169.235.247,"AS16509 Amazon.com, Inc.",US,"47.5846,-122.3005"
149.72.37.58,"AS11377 SendGrid, Inc.",US,"36.1750,-115.1372"
1.1.1.1,"AS13335 Cloudflare, Inc.",AU,"-27.4816,153.0175"
63.159.128.168,"AS209 CenturyLink Communications, LLC",US,"39.7392,-104.9847"
198.186.202.147,"AS7091 Next Level Infrastructure, LLC",US,"37.4419,-122.1430"
64.25.33.73,,KR,"37.5660,126.9784"
76.223.138.211,"AS14618 Amazon.com, Inc.",US,"39.0437,-77.4875"
10.90.39.231,,,
127.0.0.1,,,
62.194.12.115,AS33915 Vodafone Libertel B.V.,NL,"51.8892,4.6865"
200.56.119.33,"AS11172 Alestra, S. de R.L. de C.V.",MX,"25.7819,-100.1884"
65.217.159.66,AS701 Verizon Business,US,"40.7143,-74.0060"
209.69.222.112,"AS2914 NTT America, Inc.",US,"42.3615,-83.3649"
025.05.20.20,,,
64.161.22.236,"AS7018 AT&T Enterprises, LLC",US,"39.1638,-119.7674"
208.165.53.172,"AS3561 CenturyLink Communications, LLC",US,"32.5530,-92.0422"
024.08.26.07,,,
200.161.29.169,AS27699 TELEFÔNICA BRASIL S.A,BR,"-22.9056,-47.0608"
167.89.52.47,"AS11377 SendGrid, Inc.",US,"41.8500,-87.6500"
202.98.63.126,AS4134 CHINANET-BACKBONE,CN,"29.5603,106.5577"
54.240.78.9,"AS14618 Amazon.com, Inc.",US,"39.0437,-77.4875"
025.04.14.13,,,
024.03.28.17,,,
136.201.105.4,AS1213 HEAnet CLG,IE,"52.6647,-8.6231"
